What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
What is a partial function?	A partial function between X and Y is a subset f ⊆ X×Y such that given any elements (x,y) ∈ f and (x,y') ∈ f, then y=y'. <br><br>crole pg 3
If X is a set and R is an equivalence relation on X, then what does X/R denote?	The set of equivalence classes of X with respect to R.<br>pg 3
What is a preorder?	a binary relation which is reflexive and transitive.<br>pg 3
What does it mean for a preorder to be discrete?	The preorder X is discrete if any two elements of X are incomparable.<br><br>pg 3
What does it mean for two elements of a preorder to be isomorphic?	x and y are isomorphic iff x ≤ y and y ≤ x.<br>Crole pg 3
Let S ⊆X and x ∈X. What does x ≤ S mean?	x ≤ s for all s ∈S.<br>Crole pg 3
What is a partial order?	A relation which is reflexive, transitive, and anti-symmetric.<br><br>Crole pg 4
True or false: posets are preordered sets.	True<br>Crole pg 4
True or false: Preordered sets are posets.	False. Crole pg 4.
If x and y are elements of a poset, what does x < y mean?	x ≤ y and x ≠ y.<br>Crole pg 4
If X is a preordered set, what is the poset reflection of X?	The set of equivalence classes of x, with the following preorder:<br><br>[x] ≤ [y] iff x ≤ y for all x,y ∈X.<br><br>Crole pg 4.
What is a Hasse diagram?	Crole pg 4
If X is a poset, then what does X<sup>op</sup> denote?	its the preordered set whose underlying set is X and whose order is given by x ≤<sup>op</sup> y iff y ≤ x.<br><br>pg 5, example 5
If X is a preorder and A ⊆X, what does it mean for x ∈X to be an upper bound of A?	x ≥ a for all a ∈ A.<br><br>Crole pg 6
Consider the following statement:<br><br>Let X be a preordered set and A a subset of X. Then greatest and least elements of A are unique up to isomorphism if they exist.<br><br>Prove or give a counterexample: 	true. Crole pg 6
Identify the maximal elements of each of the posets on Crole pg 6.	Crole pg 6
Let X be a preordered set and X ⊆A. What is a <i>join</i> of A?	Crole pg 7
Let X be a preordered set and A ⊆X. What is <i>meet</i> of A?	it's the greatest lower bound of A in X. Note that not all subsets of a preordered set may have a meet.<br><br>Crole pg 7
If X is a preordered set and A ⊆ X, what do the notations ∨A, ∨<sub>X</sub>A, ∧A, and ∧<sub>X</sub>A mean?	respectively:<br>-an arbitrary join of A where the containing preordered set is clear<br>-an arbitrary join of A where the containing preordered set is X<br>-an arbitrary meet of A where the containing preordered set is clear from context<br>-an arbitrary meet of A where the containing preordered set is X.<br><br>Crole pg 7
Let X be a preorder. Consider Ø ⊆ X (i.e. the empty set). What can be said about ∨Ø if it exists? What about ∧Ø?	every element is an upper and lower bound of the empty set. so the join of the empty set must be bottom and the meet of the empty set must be top.<br><br>Crole pg 8
Let X be a preorder and consider {a,b} ⊆ X. What does a∧b denote? What about a∨b?	respectively:<br>∧{a,b}<br>∨{a,b}<br><br>Crole pg 8
Give the definition of a <i>chain</i>.	A subset of a preordered set such that every pair of elements in the set are comparable, i.e. C is a preorder if for all x,y ∈C, x ≤ y or y ≤ x.<br><br>Crole pg 8
Give the definition of an <i>ω-chain</i>.	A chain whose elements can be indexed by natural numbers.<br><br>crole pg 8
Give the definition of an <i>anti-chain</i>.	A subset C of a preorder such that for all x,y ∈ C, x ≤ y iff y ≤ x.<br><br>Crole pg 8
What does it mean for a subset D of X to be <i>directed</i>? 	It means that any finite subset of D has an upper bound in D.<br><br>Crole pg 8
